latt,temp,AJA,  CNA,   CPA, PTM,     VTM   ,PTM_dflt
bcc, 100,0.9995,1.0000,None,  1.0000,1.0000,1.0000
bcc, 200,0.9811,1.0000,None,  1.0000,1.0000,1.0000
bcc, 300,0.9281,1.0000,None,  1.0000,1.0000,1.0000
bcc, 400,0.8626,1.0000,None,  1.0000,1.0000,1.0000
bcc, 500,0.7907,1.0000,None,  1.0000,1.0000,1.0000
bcc, 600,0.7242,0.9998,None,  1.0000,1.0000,1.0000
bcc, 700,0.6695,0.9991,None,  1.0000,1.0000,1.0000
bcc, 800,0.6134,0.9967,None,  1.0000,1.0000,1.0000
bcc, 900,0.5678,0.9904,None,  1.0000,0.9981,1.0000
bcc,1000,0.5391,0.9749,None,  0.9994,0.9938,0.9994
bcc,1100,0.5125,0.9558,None,  0.9987,0.9868,0.9985
bcc,1200,0.4804,0.9150,None,  0.9962,0.9709,0.9941
bcc,1300,0.4627,0.8657,None,  0.9915,0.9498,0.9847
bcc,1400,0.4446,0.8087,None,  0.9830,0.9215,0.9655
bcc,1500,0.4257,0.7368,None,  0.9694,0.8830,0.9222
bcc,1600,0.3999,0.6278,None,  0.9444,0.8017,0.8269
bcc,1700,0.3877,0.5252,None,  0.9016,0.7168,0.7080
bcc,1800,0.3634,0.4209,None,  0.8545,0.6309,0.5757
bcc,1900,0.3411,0.2995,None,  0.7611,0.4892,0.3865
bcc,2000,0.2863,0.1561,None,  0.5234,0.2955,0.1827
fcc, 100,1.0000,1.0000,None,  1.0000,0.2351,1.0000 
fcc, 200,1.0000,1.0000,None,  1.0000,0.2465,1.0000 
fcc, 300,1.0000,1.0000,None,  1.0000,0.2467,1.0000 
fcc, 400,0.9976,0.9960,None,  1.0000,0.2471,1.0000 
fcc, 500,0.9882,0.9860,None,  1.0000,0.2448,1.0000 
fcc, 600,0.9659,0.9538,None,  0.9999,0.2524,0.9999 
fcc, 700,0.9146,0.8679,None,  0.9993,0.2489,0.9971 
fcc, 800,0.8381,0.7462,None,  0.9950,0.2517,0.9775 
fcc, 900,0.7128,0.5566,None,  0.9776,0.2426,0.8832 
fcc,1000,0.5731,0.3753,None,  0.9360,0.2417,0.6734 
fcc,1100,0.3704,0.1669,None,  0.7891,0.2183,0.3289 
hcp, 100,1.0000,1.0000,None,  1.0000,0.6293,1.0000 
hcp, 200,0.9997,1.0000,None,  1.0000,0.6233,1.0000 
hcp, 300,0.9973,0.9998,None,  1.0000,0.6223,1.0000 
hcp, 400,0.9921,0.9990,None,  1.0000,0.6233,1.0000 
hcp, 500,0.9818,0.9915,None,  1.0000,0.6142,1.0000 
hcp, 600,0.9589,0.9756,None,  0.9999,0.6216,0.9998 
hcp, 700,0.9415,0.9526,None,  0.9999,0.6265,0.9998 
hcp, 800,0.9068,0.8981,None,  0.9996,0.6144,0.9991 
hcp, 900,0.8706,0.8462,None,  0.9984,0.6128,0.9956 
hcp,1000,0.8346,0.7802,None,  0.9974,0.6147,0.9893 
hcp,1100,0.7881,0.6962,None,  0.9939,0.6146,0.9689 
hcp,1200,0.7426,0.6082,None,  0.9887,0.6103,0.9320 
hcp,1300,0.7033,0.5392,None,  0.9806,0.6071,0.8821 
hcp,1400,0.6597,0.4645,None,  0.9714,0.6132,0.8068 
hcp,1500,0.6114,0.3877,None,  0.9572,0.5975,0.7058 
hcp,1600,0.5574,0.3160,None,  0.9396,0.6013,0.6148 
hcp,1700,0.5144,0.2615,None,  0.9196,0.5918,0.4940 
hcp,1800,0.4830,0.2189,None,  0.8992,0.5900,0.4173 
hcp,1900,0.4462,0.1791,None,  0.8738,0.5778,0.3409 
hcp,2000,0.4022,0.1417,None,  0.8355,0.5697,0.2553 
hcp,2100,0.3675,0.0990,None,  0.7906,0.5589,0.1781 
hcp,2200,0.3323,0.0718,None,  0.7322,0.5303,0.1232 
cd,  100,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  200,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  300,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  400,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  500,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  600,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  700,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  800,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd,  900,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd, 1000,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd, 1100,None,  0.9999,0.9999,1.0000,None  ,1.0000
cd, 1200,None,  1.0000,1.0000,1.0000,None  ,1.0000
cd, 1300,None,  0.9995,1.0000,1.0000,None  ,1.0000
cd, 1400,None,  0.9987,1.0000,1.0000,None  ,1.0000
cd, 1500,None,  0.9970,0.9997,1.0000,None  ,1.0000
cd, 1600,None,  0.9940,0.9987,1.0000,None  ,0.9999
cd, 1700,None,  0.9864,0.9976,1.0000,None  ,0.9998
cd, 1800,None,  0.9801,0.9922,0.9988,None  ,0.9970
cd, 1900,None,  0.9613,0.9842,0.9972,None  ,0.9891
cd, 2000,None,  0.9209,0.9649,0.9901,None  ,0.9669
hd,   20,None,  1.0000,1.0000,1.0000,None  ,1.0000
hd,   40,None,  1.0000,1.0000,1.0000,None  ,1.0000
hd,   60,None,  1.0000,1.0000,1.0000,None  ,1.0000
hd,   80,None,  1.0000,1.0000,1.0000,None  ,1.0000
hd,  100,None,  1.0000,1.0000,1.0000,None  ,1.0000
